Name of Workout|My Personalized Workout Description|Need changes??
Resistance Band Chest Fly|Attach a resistance band to a door or something stable, and attach it around your chest level. In a standing position grab the band with one hand and move it away from the anchor point until you feel a stretch and resistance in your chest muscles. Pull the band in front of your body at chest height with a slight bend at the elbow. Contract your chest muscles before returning to the starting position with a controlled movement. Repeat for reps for one side. Once finished switch to the other side of your body and repeat steps|
Smith Machine Bench Press|Lie on the bench and pull your shoulder blades together and down, and hold your chest up. Grip the bar slightly wider than shoulder-width apart. Unrack the bar. Lower it with control until it touches your chest. Push the bar back to its original position. Repeat for reps.|
Smith Machine Incline Bench Press|Sit on an inclined bench, pull your shoulder blades together and down, and hold your chest up. Grip the bar slightly wider than shoulder-width apart. Unrack the bar. Lower the bar with control until it touches your upper chest. Push the bar back up to its original position. Repeat for reps.|
Standing Cable Chest Fly|Fasten a pair of handles in the top position of a cable cross. Grip the handles and take a step forward and lean slightly forward. With a slight bend in the arms, push the handles forward until they meet in front of your body. Now with control let the handles go back to the starting position. Repeat for reps.|
Standing Resistance Band Chest Fly|Attach a resistance band to a door or something stable, and attach it around your chest level. In a standing position grab the band with one hand and move it away from the anchor point until you feel a stretch and resistance in your chest muscles. Pull the band in front of your body at chest height with a slight bend at the elbow. Contract your chest muscles before returning to the starting position with a controlled movement. Repeat for reps. Switch to the other side of your body and repeat the exercise. |
Band External Shoulder Rotation|Fasten an elastic band at elbow height. Grab the band, step away and stand sideways to the band. Grab the band with your arm that is on the opposite side of the band. Keep your upper arm close to your side, and bend your elbow 90 degrees. Rotate your upper arm outwards against the resistance of the band, and move outwards as far as you can. Reverse the movement and repeat for reps.|
Band Internal Shoulder Rotation|Fasten an elastic band at elbow height. Grab the band, step away and stand sideways to the band. Grab the band with your arm that is closest  to the band. Keep your upper arm close to your side, and bend your elbow 90 degrees. Rotate your upper arm inwards against the resistance of the band, and move inwards as far as you can. Reverse the movement and repeat for reps.|
Band Pull-Apart|Grab an elastic band with an elasticity of your choosing. Hold it out in front of you with your arms held out straight. Pull the band apart by moving your arms to the sides as far as you can, or until your arms art straight out like a T. Now return your arms to your starting position with control and repeat for reps.|
Barbell Front Raise|Hold a barbell in straight arms in front of your body. Now with control, lift the barbell forward with straight arms until the bar is at your shoulder length. Reverse the movement and lower the bar with control. Repeat for reps|
Barbell Rear Delt Row|Grip a barbell with a wide overhand grip, and lean forward with bar hanging from you with straight arms. Pull the bar up to your chest, with your upper arms pointing straight out to the sides. With control, lower the bar back to the starting position. Repeat for reps|
Barbell Upright Row|Grip a barbell with an overhand grip that is slightly more narrow than your shoulder width. Pull the bar straight up until it is at the level of your chin. With control lower the bar back to its starting position. Repeat for reps|
Behind the Neck Press|Grab a barbell slightly wider than your shoulder width, now duck under the bar so that it is resting on your neck. Now Press the bar up until your arms are straight. Lower the bar back to its original position with control so it sits at the base of your neck. Repeat for reps.|
Cable Lateral Raise|Situate a cable so it sits at a lower position on a cable pulley, preferably located around your ankles. Stand close to the pulley with the arm holding the handle, while you face away from the machine. With control, lift the handle outwards to your sides until your upper arm is horizontal. Lower the handle till your starting position. Repeat for reps. Rotate your body 180 degrees to hit your other shoulder and repeat steps.|
Cable Rear Delt Row|Fasten a rope handle in a high up position on the cable pulley. Grip the ropes with an overhand grip and take a step or two back. With your elbows held high, pull the rope towards you by letting your upper arms move straight out towards your sides. Pull your scapulae together in the end position. Now return with control to the starting position by letting your arms move forward again. Repeat for reps.|
Dumbbell Front Raise|Hold a pair of dumbbells in straight arms to your side, but in front of your hips. Now with control, lift the dumbbells forward with straight arms, until the dumbbells are at your shoulder height. Reverse this movement and lower the dumbbells back to your side but in front of your hips. Repeat for reps.|
Dumbbell Horizontal Internal Shoulder Rotation|Lie down on the ground on your back, with your upper arm out straight out to your side and bent at a 90 degree angle. With ta dumbbell, rotate your arm upwards against the direction of resistance till your forearm is at a 90 degree angle. Reverse the movement, and repeat for reps. You should do this for both arms.|
Dumbbell Horizontal External Shoulder Rotation|Find a barbell at around your armpit height. Stand sideways to the barbell so that your upper arm is horizontal when you are resting your arm on the bar. Hold a dumbbell in your hand and bend your elbow to 90 degrees. Rotate your arm upwards against the direction of resistance. Now reverse the movement and repeat for reps. Step on the opposite side of the barbell once you have finished your reps for that arm to work on the opposite arm and repeat steps.|
Dumbbell Lateral Raise|Hold a pair of dumbbells with you arms hanging straight by your sides. With control, lift the dumbbells out to your sides until your upper arms are horizontal. Lower the dumbbells back to your sides with control. Repeat for reps.|
Dumbbell Rear Delt Row|Lean your body forward with a dumbbell in each hand. Now make a wide rowing motion, where you let your upper arms go outwards towards the sides. With control return the dumbbells back to your starting position. Repeat for reps|
Dumbbell Shoulder Press|Grab a pair of dumbbells and lift them to a starting position at your shoulders. Press the dumbbells upwards until your arms are straight. Bring the dumbbells back down to your starting position with control so they are at your shoulders. Repeat for reps|
Face Pull|Fasten a rope handle in a high up position on the cable pulley. Grip the ropes with an overhand grip and take one to two steps back. With your elbows held high, pull the rope towards you by letting your upper arms move straight out towards your sides while simultaneously rotating your forearms upwards. Return the rope handle back to its starting position with control by letting your arms move forward again. Repeat for reps.|
Front Hold|Hold a plate In Front of your body with straight arms. With control, lift the plate upward while maintaining straight arms, lift the plate until your arms are straight in front of you, or till the plate is at shoulder height. Now hold for as long as you can. Repeat for reps.|
Lying Dumbbell External Shoulder Rotation|Lie down on the ground on your side. Now with your arm not touching the ground, have the arm not touching the ground sit straight against your body, now bend your elbow 90 degrees. With a dumbbell in hand rotate your arm upwards against the direction of resistance, and go as far as you can. Now reverse the movement with control and repeat for reps. Once finished switch to the opposite side you laid down and repeat steps for other shoulder.|
Lying Dumbbell Internal Shoulder Rotation|Grab a bench to lie down on your side. With the arm that is touching the bench bend your elbow so it is 90 degrees. With a dumbbell in hand rotate your arm upwards against the direction of resistance. Reverse this movement and repeat for reps. Once finished lie down on the opposite side and repeat steps.|
Machine Lateral Raise|Adjust the lateral raise machine so that the pads are leaning against your elbows. Now lift your arms out to your sides until your upper arms are horizontal. Lower the arms back to the starting position and repeat for reps.|
Machine Shoulder Press|Adjust the shoulder press machine so that the machine is at an appropriate setting for you. Sit down and grip the handles. Press the handles upwards until your arms are straight. Lower the handles back to its starting position with control. Repeat for reps.|
Monkey Row|With your arms by your sides and a dumbbell in each hand, pull the dumbbells straight up  as far as you can. Now with control lower the dumbbells back to your starting position with control. Repeat for reps|
Overhead Press|Place a barbell in a rack at about chest height. Grip the bar slightly wider than shoulder-width apart. Now unrack the barbell and let the bar rest against your front delts while you step away from the rack. Press the bar up till your arms are straight. Now lower the bar back with control to your shoulders. Repeat for reps|
Plate Front Raise|Hold a plate with straight arms in front of your body. Lift the plate forward with straight arms until your arms are straight out in front of you, or at shoulder height. Now reverse the movement with control and repeat for reps|
Power Jerk|Get into a starting positioning the barbell above your shoulders. Grip the bar slightly wider than your shoulder width. Unrack the bar and let it sit on the front of your shoulders. Now slightly bend your knees then forcefully extend them to push the bar up. Once you extend your knees you will duck under the bar and "catch" (you DO NOT let go of the bar) it with straight arm by slightly bending your knees. Stand up with straight legs again. Once the bar is at its peak. lower the bar in front of you with control, or you can lower it back onto the front of your shoulders. Repeat for reps.|
Push Press|Grab a barbell with a grip that is slightly outside of your shoulders. Now rest a barbell against the front of your shoulders. Begin to bend your knees, then forcefully push yourself and the bar upwards using your legs. Once your legs become extended start pressing the bar with your arms till your arms are fully extended. With control lower the bar back to your shoulders. Repeat for reps.|
Reverse Dumbbell Flyes|Hold a dumbbell in each hand, now lean forward and let your arms hand towards the floor. With almost straight arms (your going to bend your elbow ever so slightly), now slowly lift the dumbbells by raising your arms out to your sides. Reverse this movement and lower the dumbbells back to its starting position.|
Reverse Machine Fly|Adjust the chest support handles on the machine so that you can grip the handles at shoulder height, that way you can get a long range of motion. With just a slight bend in the arms pull the handles backward by bringing your arms out to the side. Now with control reverse the movement and let the handles reach their starting position. Repeat for reps.|
Seated Dumbbell Shoulder Press|Sit down on a bench with a raised backrest, like a chair. Grab your dumbbells and lift them to the starting position at your shoulders. Press the dumbbells upwards to straight arms. Now lower them back with control to your shoulders. Repeat for reps.|
Seated Barbell Overhead Press|Sit down on a bench with a raised backrest, like a chair. Grib your barbell with an overhand grip. Unrack or place the barbell on your upper chest. Press the barbell upwards to straight arms. Once your barbell is at the top reverse this motion with control and repeat for reps.|
Seated Smith Machine Shoulder Press|Position a bench with a backrest so the bar lines up with the top of your chest. Unrack the barbell and lower it to the starting position at the top of your chest. Now press the bar upwards to straight arms. Now lower the bar back to your chest with control. Repeat for reps.|
Snatch Grip Behind the Neck Press|Grab a barbell with a snatch grip (a wide grip), and duck under the barbell so it is resting on the base of your neck. Press the bar upwards until your arms are straight. Lower the bar back to its original position with control to the base of your neck. Repeat for reps.|
Squat Jerk|Grab a barbell and grip the bar slightly wider than shoulder-width apart and let it rest on the front of you shoulders. Slightly bend your knees, and then forcefully extend them to push the bar upwards. Once you have pushed it upwards duck under the bar and catch it on straight arms by bending your knees like in a squat. Once you have reached the position where you are squatting you are going to stand up on straight legs again. Once standing lower the bar back onto the front of your shoulders. Repeat for reps.|
Split Jerk|Grab a barbell and grip the bar slightly wider than shoulder-width apart and let it rest on the front of your shoulders. Once here you will slightly bend your knees and then forcefully extend them to push the bar upwards. Once you have extended your knees you will duck under the bar and catch it on straight arms with your legs in a lunge position. Now to get back to resting take a step back with your front foot then step forward with your back foot until your feet are standing side by side. You will do this all while maintaining straight arms with barbell above your head. Once here lower the bar back the starting position with control and repeat for reps.|
Barbell Curl|Grip a bar with an underhand grip, with your hands located about shoulder width apart. Lift the bar with control by flexing your elbows. Try not to let your upper arm travel backwards during the curl. The goal is to keep it at your side or move it slightly forward. Reverse the movement and lower the bar back to the starting position. Repeat for reps|
Barbell Preacher Curl|Grab a barbell and sit down at a preacher curl bench. You will want to rest your upper arms against the pad. Lower the barbell as far as you can with control. Now lift the bar towards you and the reverse that motion to the starting position. Repeat for reps|
Bodyweight Curl|You want to start off by grabbing the handles of your TRX, or a pair of rings. Then stand with your body facing your anchor point. You want to keep your feet close towards the anchor point and lean back till the cables are at full tension. Now you are in the starting position. You want to keep your arms straight and the palms of your hands facing towards your face. At this point the elbows should be higher up than you shoulders. Begin to slowly bend your arms with control and curl yourself towards the handles you are holding. Then reverse the movement with control and repeat for reps.|
Cable Curl With Bar|Fasten a bar in the lower position of a cable cross, so around where your ankles are located. Grip the bar with an underhand grip, and with your hands at shoulder width apart. Lift the bar with control by flexing your elbows. You don't want to let your upper arm travel backwards during the curl. You want to keep it still or move it slightly forward. Now reverse that motion back to the starting position with control and repeat for reps|
Cable Curl With Rope|Fasten a bar in the lower position of a cable cross, so around where your ankles are located. Grip the rope with a neutral grip and take a step back. Lift the rope with control by flexing your elbows. You don't want to let your upper arm travel backwards during the curl. You want to keep it still or move it slightly forward. Now reverse the motion back to its starting position with control and repeat for reps.|
Concentration Curl|Sit on a bench with a dumbbell in hand, you will want to lean your elbow with the dumbbell in it onto the corresponding leg. Keep in mind you elbow should be sitting on the inside of your leg. Let your arm hang to the ground and lift the dumbbell with control by flexing your elbow. Reverse the movement and lower the dumbbell back to the starting position. Repeat for reps. Once reps have finished switch arms.|
Dumbbell Curl|Grab a pair of dumbbells in an underhand grip with your arms hanging by your side. Lift the dumbbells with control by flexing your elbows.  You don't want to let your upper arm travel backwards during the curl. You want to keep it still or move it slightly forward. Reverse the movement and lower the dumbbells back to their starting position with control. Repeat for reps.|
Dumbbell Preacher Curl|Use a preacher curl bench or use a bench with a backrest, and have the backrest at an angle similar to the preacher curl bench. With your dumbbell in hand stand behind the bench or sit down at the preacher curl bench and rest your upper arm against the padding. Note we are doing one arm at a time. Lower the dumbbell as far as it can go and then begin curl the dumbbell upwards using your elbow. Repeat this motion for reps.|
Hammer Curl|Hold a pair of dumbbells in a neutral grip, this means your palms will be facing each other. Your arms will be hanging by your side with weight in hand. Lift the dumbbells with control by flexing your elbows. You don't want to let your upper arm travel backwards during the curl. You want to keep it still or move it slightly forward. Now reverse the movement back to its starting position with control and repeat for reps.|
Incline Dumbbell Curl|Grab an incline bench and your pair of dumbbells and sit down on the inclined bench. Let your arms hang straight down by your sides. Lift the dumbbells with control by flexing your elbows. Now reverse this movement and lower the dumbbells back to the starting position with control. Repeat for reps.|
Machine Bicep Curl|Adjust the machine so that you are correctly positioned. Your upper arms should be resting on the padding while your elbows are in line with the machines joint. Grab the handles with an underhand grip around shoulder width apart. Curl the weight up as far as you can, and make sure to do the entire movement at a controlled speed. Reverse back to your starting position, but don't let the weights hit the stack. Repeat for reps.|
Spider Curl|Grab a bench with a backrest and angle the back rest at 45 degrees. Now grab your dumbbells with and underhand grip and lie stomach first on the bench. Have your arms hang towards the ground and begin to lift the dumbbells with control.  You don't want to let your upper arm travel backwards or forwards during the curl. You want to keep the movement to your forearms only. Reverse the movement and lower the dumbbells back to its starting position with control. Repeat for reps|
Barbell Standing Triceps Extension|Grip a barbell with a close grip and lift it up to straight arms over your head. Now lower the barbel behind your head while keeping your upper arms still and vertical. Now while the barbell is sitting behind your back you want to keep your upper arms still and bring the barbell upwards so your arms are straight. Reverse that motion and bring the barbell back to behind your back. Repeat for reps|
Barbell Lying Triceps Extension|Grab a bench and lie down on a bench with your head close to the edge. Now lift the barbell to straight arms over yourself. Lower the barbell down behind your head. Try your best to keep the same distance between your elbows throughout the whole movement. Now raise the barbell over your head till your arms are straight and then reverse that motion. Repeat for reps.|
Bench Dip|Grab a bench and turn your back towards it and put your hands on the pads. Make sure your hands are about shoulder width apart and extend your legs in front of you. Lower yourself with control by bending your arms as far as you can downwards without causing discomfort in your arms. Reverse the motion and return to your starting position. Repeat for reps.|
Close-Grip Push-Up|Assume a starting position with your hands at shoulder-width. Try to form a straight line from your head to your feet and brace your abdomen slightly. Begin to lower yourself as far as you can go. Then push yourself back up to your starting position till your arms are straight again. Repeat for reps.|
Dumbbell Lying Triceps Extension|Lie down on a bench with your head close to the edge. Hold a pair of dumbbells with your arms pointing straight up. Lower the dumbbell down behind your head. While this is happening try to keep the same distance between your elbows throughout the movement. Now reverse the motion until your arms are straight again. Repeat for reps|
Dumbbell Standing Triceps Extension|Grab a dumbbell and lift it up to a straight arm over your head. Lower the dumbbell down behind your head while you keep your upper arm still and vertical. Reverse this motion and extend your arm again. Repeat for reps.|
Overhead Cable Triceps Extension|Fasten a rope handle in the lower position of a cable pulley, so about where your ankle level is. Stand with your back against the pulley, slightly lean forward and hold the rope behind your head and your upper arms next to your ears. Straighten your elbows until your arms are fully extended. Reverse the motion by bending your arms again. Repeat for reps.|
Tricep Bodyweight Extension|Position a bar so it is around hip height. Make sure the bar is racked and you have space below. Grab the bar using an overhead grip, with your hands about shoulder width apart. To start your arms should be fully extended, and your core and glutes activated as in a standing plank position. Bend your arms and bring your torso forward and lower your head below the bar. Make sure you do this slowly and with control. Reverse the movement by straightening your arms. Repeat for reps|
Tricep Pushdown With Bar|Take a step away from a cable pulley that is taller than you. Grip the bar with an overhand grip and make sure your hands are shoulder width apart. Pull the handle down until your upper arms are perpendicular to the floor. This is your starting position. Now you will push the handle down until your arms are fully extended. with control reverse this motion and let the handle come up again. Repeat for reps|
Tricep Pushdown With Rope|Take a step away from a cable pulley that is taller than you. Fasten rope handle in the upper position of the cable pulley. Grip the rope with an overhand grip and take one step back from the pulley. Pull the rope down until your upper arms are perpendicular to the floor. This is your starting position. Push the rope downwards until your arms are full extended. Now with control let the rope come back up again. Repeat for reps.|
Air Squat|Stand with your feet about shoulder width apart. Now squat as deep as possible. Reverse the movement and return your standing position. Repeat for reps|
Barbell Hack Squat|Find a barbell or a bar and stand in front of it. You will want to squat down and grip the bar with your arms outside of your legs. Start to lift the bar and pull the bar close to your body with a straight back until you are standing straight again. Lower the bar back to the ground with control. Repeat for reps|
Barbell Lunge|Grab a barbell or a bar and rest it on the back of your shoulders or the bottom of your neck. Once it rested in your desired location you will take a big step forward and sink as deep as possible in a lunge position. Note though you do not want your knee of your back leg to touch the floor. Now once you have lunged you can return to your starting position and repeat movement for reps|
Barbell Walking Lunge|Grab a barbell or a bar and rest it on the back of your shoulders or the bottom of your neck. Now stand with your feet at shoulder width apart with a slight bend in your knees. Step forward with one leg bending both knees at the same time. Stop the movement just before your back knee touches the floor. It is ideal for both of your knees to reach a 90 degree angle before you continue your next step. Drive through your front foot and extend your front knee until you get to a standing position. Continue by repeating the movement on the other side. Repeat for reps|
Belt Squat|Place the belt around your waist properly and attach it to the machine. Make sure you are standing accordingly to your normal squat stance. Whenever you are ready unrack the weight and squat as deep as possible with proper technique. Now with control, stop and reverse the movement by extending your hips and legs again. Repeat for reps.|
Body Weight Lunge|Take a big step forward and sink as deep as possible in a lunge position. Note you do not want the knee of the back leg to touch the floor, you want both knees as close to a 90 degree angle as possible without your back knee touching the ground. Now return to the starting position by pushing yourself back with your front leg. Repeat for reps and switch which leg goes out front to work that leg as well.|
Box Squat|Grab a box that is slightly lower than your knee location and place it behind you. Place the bar on your upper back. Whenever your ready unrack the bar and take two steps back and adjust your foot position if needed. Squat down to the box and stand up again. Repeat for reps|
Bulgarian Split Squat|Grab a bench and a bar or barbell. Stand with your back turned against a bench, this bench should be at about knee height. Take one long step in front of the bench. Place one foot on the bench behind you. Look forward and squat down with control until right before the knee of the back leg touches the floor. Reverse the movement and extend your front leg again. Repeat for reps|Needs slight adjustment
Chair Squat|Grab a chair to place behind you Stand with your feet about shoulder width apart, or where you feel comfortable. Squat until you touch the chair. Reverse the movement and return to a standing position Repeat for reps.|
Dumbbell Lunge|Hold a dumbbell in each hand and stand with your feet about shoulder width apart. Take a big step forward and sink as deep as possible in a lunge position, do this without hitting the knee of your back leg touching the floor. Return to the starting position by pushing yourself back with the front leg. Repeat for reps.|
Dumbbell Squat|Hold a dumbbell in each hand and stand with your feet about shoulder width apart. Begin your squat and squat down as deep as possible. Reverse the movement and return to a standing position. Repeat for reps|
Front Squat|Grip the bar slightly wider than shoulder width. Step forward and place the bar on the front of your shoulders. Specifically on top of your clavicles and tight against your throat. Unrack the bar when you are ready and take two steps back and adjust your foot position if needed. Squat as deep as possible with technique. With control, stop and reverse the movement by extending your hips and legs again until you are standing. Repeat for reps.|
Goblet Squat|Grab a kettlebell on the sides of the handle and hold the kettlebell against your chest. Stand with your feet about shoulder width apart and your toes pointing slightly outward. Squat down as deep as possible. Reverse the movement and return to the starting position Repeat for reps.|
Hack Squat Machine|Adjust the machine to the correct height and place your shoulders against the shoulders pads.Put your feet on the plate, slightly in front of the base of the sled and about shoulder width apart. Extend your legs and disengage the sled's locks. Squat down as deep as you can with good form. Reverse the movement with control and extend your legs again until you are back in the starting position. Repeat for reps.|
Half Air Squat|Stand with your feet about shoulder width apart or wherever you feel comfortable. Squat as deep as possible or as deep as you want. Reverse the movement and return to a standing position. Repeat for reps.|
Hip Adduction Machine|Adjust the machine to the appropriate settings, sit down with your legs outside the pads and grip the handles. Push the pads toward each other by bringing your legs together. Return with control to the starting position Repeat for reps.|
Landmine Hack Squat|Place one end of a barbell into a corner. Facing away from the bar place the other of one of your shoulders. Squat down as deep as possible with good technique. With control, stop once you have reached the bottom of your squat and reverse the movement back to a standing position by extending your hips and legs. Repeat for reps.|
Landmine Squat|Place one end of a barbell into a corner. Grip the other end with both of your hands and rest your hands against the top of your chest. Squat down as deep as possible with good technique. With control, stop and reverse the movement by extending your hips and legs until you are standing up. Reverse for reps.|
Leg Extension|Adjust the machine so that you are correctly positioned. Your knees should be in line with Leg Extensions joint. Extend your knees with control, until they are completely straight. Slowly lower the weight again. Repeat for reps. |
Leg Press|Adjust the machine so that you only need to extend your legs slightly so you can be able to release the weights. Make sure to adjust the safety pins so that they catch the weight if your are unable to lift it Place your feet on the platform about shoulder width apart. Lower the weight by bending your legs Lower the weight as deep as possible without rounding your back and keeping your glutes in the seat. Press the weight back up again. Repeat for reps|
Lying Leg Curl|Adjust the machine so your are in a appropriate position. This means your knees should be in line with the machines joints. Lift the weight by bending your knees as far as possible. Slowly lower the weight again. Repeat for reps|
Pause Squat|Place the bar on your upper back, and unrack the bar when ready. Take two steps back and adjust your foot position if needed. Squat as deep as possible with good technique  Stop at the bottom position and pause for a couple seconds. Once you have finished your pause stand up again to your starting position Repeat for reps|
Romanian Deadlift|Get into a starting position by deadlifting a barbell from the floor, or by unracking it from a barbell rack. Begin to lean forward by hinging your hips and keep your knees almost completely extended. Lean forward as far as possible without rounding your back. The goal is not to touch the barbell to the floor, but it is absolutely okay if it does touch the floor. Reverse that movement and return to your starting position. Repeat for reps.|
Safety Bar Squat|Grip the handles of a safety squat bar and place the bar on your upper back. Take two steps back once you have unracked the bar and adjust your foot position if needed. Squat as deep as possible with good technique With control reverse the movement by extending your hips and legs til you are standing again. Repeat for reps|
Seated Leg Curl|Adjust the Seated Leg Curl Machine so that you are correctly positioned. This means that your knees should be in line with the machines joints. You will now push the weight down by bending your knees as far as possible. Slowly and with control let the weight back to its starting position. Repeat for reps|
Shallow Body Weight Lunge|Take a big step forward and lower your body into a lunge position. Try to go as deep as you can, but don't push yourself, just as deep as your body allows. Lift your body upwards by pressing the front leg away from the ground. Repeat for reps|
Side Lunges Bodyweight|Stand up straight, and allow for lots of room to the side you will be stepping to. Take a big step to the left of right of you (whichever side you are working on). Go as deep as possible to that side without your heel lifting from the ground. Now push yourself back up by pressing the foot on the side from the ground back to your starting position. Repeat for reps, and switch sides to hit both of your legs|
Smith Machine Squat|Step into the smith machine area with your feet directly below the bar. Your feet should be about shoulder width apart, you will then want to place the bar on your upper back. You can now begin your squat, you will want to squat as deep as possible with good technique. With control you will reverse this movement until you are standing upright again. Repeat for reps.|
Squat|Grab a bar or barbell and place it on your upper back. When you are ready unrack the bar and take two steps back, adjusting your feets position if needed. Squat as deep as possible with good technique. With control reverse this movement until you are standing straight again, do this by extending your hips and legs once at the bottom of the squat. Repeat for reps.|
Step Up|Stand in front of a bench, box or even a chair. Please make sure whatever you are stepping up to can hold your weight and is stable. Place one of your feet onto the object you will be stepping up to. Now step up to the object until your leg is straight. Lower yourself wit control until your other foot has touched the ground. Keep in mind you want to keep your other foot on the object at all times. Repeat for reps.|
